age,gender,education,employment_type,years_employed,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,monthly_emi,emi_to_income,loan_to_income,loan_purpose,default
59,Male,High School,Salaried,8.0,150000.0,353756,12,14.47,624.0,3,31841.02,2.5473,2.3584,Medical,0
49,Male,High School,Salaried,6.0,150000.0,733938,60,20.77,631.0,2,19760.65,1.5809,4.8929,Personal,1
35,Female,Master,Self-Employed,5.0,184439.0,579339,36,10.28,699.0,0,18769.89,1.2212,3.1411,Medical,0
63,Male,Bachelor,Self-Employed,7.0,276439.0,1336970,12,14.71,689.0,2,120489.78,5.2304,4.8364,Home,0
28,Male,Master,Salaried,6.0,150000.0,560503,48,10.56,658.0,2,14367.02,1.1494,3.7367,Home,0
41,Male,Bachelor,Salaried,6.0,,350096,36,21.0,606.0,3,13189.89,1.0552,2.334,Personal,0
59,Male,Bachelor,Business,8.0,254804.0,395456,120,16.13,627.0,1,6656.48,0.3135,1.552,Home,0
39,Female,Master,Salaried,13.0,150000.0,389150,36,17.04,872.0,4,13882.01,1.1106,2.5943,Education,0
43,Male,Bachelor,Self-Employed,2.0,150000.0,706832,120,19.83,584.0,1,13580.35,1.0864,4.7122,Education,1
31,Male,Bachelor,Salaried,7.0,176785.0,191992,12,23.01,627.0,1,18062.83,1.2261,1.086,Home,0
31,Female,Bachelor,Salaried,8.0,150000.0,385713,24,9.25,716.0,0,17665.47,1.4132,2.5714,Home,0
44,Female,Bachelor,Salaried,5.0,150000.0,309144,12,21.45,900.0,3,28852.37,2.3082,2.061,Business,0
56,Female,Bachelor,Self-Employed,11.0,210134.0,925163,36,15.32,678.0,1,32216.25,1.8398,4.4027,Education,0
60,Male,High School,Salaried,5.0,150000.0,617739,48,18.07,699.0,2,18168.69,1.4535,4.1183,Home,1
44,Male,Bachelor,Salaried,9.0,150000.0,447693,36,21.57,582.0,0,16998.17,1.3599,2.9846,Education,0
23,Female,High School,Salaried,12.0,163411.0,386925,120,12.89,597.0,3,5752.13,0.4224,2.3678,Vehicle,0
42,Male,High School,Unemployed,8.0,261494.0,935837,12,21.85,689.0,3,87521.54,4.0164,3.5788,Home,1
22,Female,Bachelor,Unemployed,6.0,233263.0,1117066,84,17.92,731.0,0,23425.96,1.2051,4.7889,Medical,0
44,Male,High School,Self-Employed,8.0,150000.0,143284,60,12.1,631.0,2,3194.52,0.2556,0.9552,Business,0
64,Male,Master,Unemployed,,237427.0,1079040,120,22.68,618.0,0,22805.12,1.1526,4.5447,Home,0
50,Female,Master,Salaried,4.0,150000.0,273605,24,8.45,559.0,0,12430.64,0.9945,1.824,Home,0
58,Female,Master,Unemployed,8.0,150000.0,77846,36,17.24,757.0,0,2784.73,0.2228,0.519,Medical,0
22,Female,Bachelor,Salaried,9.0,150000.0,575176,48,7.78,713.0,0,13982.41,1.1186,3.8345,Vehicle,0
41,Male,Bachelor,Salaried,7.0,150200.0,607996,48,8.85,,1,15086.74,1.2053,4.0479,Vehicle,1
53,Male,Bachelor,Salaried,9.0,150000.0,280712,48,9.15,683.0,1,7005.54,0.5604,1.8714,Home,0
32,Female,Bachelor,Unemployed,16.0,229371.0,918174,24,22.26,745.0,1,47751.14,2.4982,4.003,Personal,1
42,Female,High School,Self-Employed,,150000.0,613662,84,16.72,648.0,0,12441.58,0.9953,4.0911,Home,0
64,Male,Bachelor,Self-Employed,4.0,150000.0,530830,36,11.79,633.0,0,17577.96,1.4062,3.5389,Business,1
45,Male,Bachelor,Unemployed,,160142.0,107916,60,13.95,647.0,2,2508.22,0.1879,0.6739,Home,0
47,Male,High School,Self-Employed,8.0,150000.0,525507,12,21.33,638.0,0,49015.21,3.9212,3.5034,Personal,1
62,Female,High School,Self-Employed,3.0,161436.0,758075,84,16.91,723.0,0,15452.47,1.1486,4.6958,Home,0
48,Female,Bachelor,Salaried,9.0,150000.0,493712,120,8.02,554.0,0,5995.31,0.4796,3.2914,Medical,1
36,Female,High School,Business,3.0,335362.0,721415,36,21.88,675.0,3,27506.4,0.9842,2.1512,Home,0
35,Male,High School,Unemployed,9.0,326473.0,991063,36,16.38,542.0,3,35029.05,1.2875,3.0357,Vehicle,0
64,Female,High School,Unemployed,14.0,150000.0,745373,60,10.74,777.0,1,16109.73,1.2888,4.9692,Personal,1
23,Male,Bachelor,Salaried,6.0,150000.0,393992,24,19.3,729.0,2,19918.07,1.5934,2.6266,Education,0
57,Male,Bachelor,Salaried,8.0,150000.0,643046,120,16.31,614.0,0,10896.42,0.8717,4.287,Vehicle,1
27,Female,Bachelor,Salaried,8.0,150000.0,168510,12,10.62,704.0,0,14863.34,1.1891,1.1234,Medical,0
41,Male,High School,Salaried,3.0,150000.0,113124,12,18.23,711.0,1,10383.59,0.8307,0.7542,Home,0
29,Male,Bachelor,Salaried,4.0,150000.0,338349,12,18.08,560.0,3,31032.72,2.4826,2.2557,Vehicle,0
59,Male,Bachelor,Self-Employed,8.0,150000.0,167996,120,23.25,690.0,0,3616.51,0.2893,1.12,Education,1
38,Male,Bachelor,Business,7.0,248202.0,493270,84,11.86,724.0,0,8670.68,0.4192,1.9874,Vehicle,0
24,Female,Bachelor,Business,6.0,258234.0,960482,36,16.55,709.0,0,34029.08,1.5813,3.7194,Home,0
45,Female,Bachelor,Salaried,10.0,221708.0,555311,60,12.8,743.0,2,12578.25,0.6808,2.5047,Home,0
34,Female,Bachelor,Salaried,8.0,231218.0,449826,60,12.42,615.0,2,10101.86,0.5243,1.9455,Home,0
29,Female,Bachelor,Salaried,15.0,154102.0,695272,24,15.84,737.0,3,33989.55,2.6468,4.5118,Home,1
46,Female,High School,Salaried,3.0,150000.0,81364,60,19.3,792.0,0,2124.08,0.1699,0.5424,Home,0
22,Male,Bachelor,Salaried,5.0,150000.0,624469,60,17.48,674.0,1,15681.29,1.2545,4.1631,Home,0
40,Male,Bachelor,Salaried,12.0,150000.0,494356,12,9.44,665.0,1,43333.1,3.4666,3.2957,Home,0
48,Female,Bachelor,Unemployed,13.0,150000.0,106357,24,22.72,684.0,0,5555.49,0.4444,0.709,Education,0
27,Male,Bachelor,Salaried,3.0,150000.0,98054,60,19.19,596.0,1,2553.84,0.2043,0.6537,Personal,1
64,Female,Master,Self-Employed,5.0,150000.0,191032,120,17.06,725.0,0,3327.36,0.2662,1.2735,Vehicle,0
28,Male,Master,Self-Employed,6.0,150000.0,734748,60,9.88,649.0,0,15567.88,1.2454,4.8983,Personal,1
55,Female,Bachelor,Self-Employed,12.0,150000.0,132853,60,9.73,714.0,3,2805.12,0.2244,0.8857,Home,0
34,Female,Bachelor,Self-Employed,6.0,150000.0,573727,60,12.34,764.0,1,12861.03,1.0289,3.8248,Education,0
37,Male,High School,Business,,471659.0,1088194,12,22.73,676.0,0,102231.54,2.601,2.3072,Education,1
56,Male,Bachelor,Self-Employed,5.0,150000.0,234735,120,9.93,735.0,1,3092.95,0.2474,1.5649,Home,0
60,Female,Bachelor,Business,7.0,150000.0,463128,120,18.3,585.0,0,8434.54,0.6748,3.0875,Medical,0
24,Male,Bachelor,Salaried,8.0,199942.0,431243,36,18.14,665.0,0,15620.77,0.9375,2.1568,Home,0
22,Male,High School,Salaried,,169912.0,322122,120,9.02,718.0,0,4083.99,0.2884,1.8958,Business,0
26,Female,High School,Business,,162910.0,257120,120,19.17,583.0,2,4828.32,0.3557,1.5783,Vehicle,0
